Date,Open,High,Low,Close,Adj Close,Volume
2017-09-11,248.039993,249.300003,248.020004,249.210007,244.635574,71364800
2017-09-12,249.630005,250.089996,249.419998,250.050003,245.460144,56896000
2017-09-13,249.720001,250.210007,249.589996,250.169998,245.577942,59228000
2017-09-14,249.800003,250.320007,249.600006,250.089996,245.499390,95446300
2017-09-15,248.690002,249.289993,248.570007,249.190002,245.829910,95432400
2017-09-18,249.610001,250.119995,249.279999,249.720001,246.352768,46235200
2017-09-19,250.000000,250.070007,249.600006,249.970001,246.599396,47108100
2017-09-20,250.070007,250.190002,248.919998,250.059998,246.688156,59574100
2017-09-21,249.880005,249.979996,249.190002,249.389999,246.027206,48211400
2017-09-22,249.050003,249.630005,249.020004,249.440002,246.076523,51214000
2017-09-25,249.149994,249.550003,248.080002,248.929993,245.573395,57064400
2017-09-26,249.419998,249.699997,248.809998,249.080002,245.721375,54082000
2017-09-27,249.880005,250.490005,248.869995,250.050003,246.678314,81001400
2017-09-28,249.729996,250.440002,249.630005,250.350006,246.974258,44778800
2017-09-29,250.339996,251.320007,250.130005,251.229996,247.842392,85578000
2017-10-02,251.490005,252.320007,251.289993,252.320007,248.917694,59023000
2017-10-03,252.320007,252.889999,252.229996,252.860001,249.450409,66810200
2017-10-04,252.690002,253.440002,252.559998,253.160004,249.746368,55953600
2017-10-05,253.539993,254.679993,253.199997,254.660004,251.226151,63522800
2017-10-06,254.149994,254.699997,253.850006,254.369995,250.940048,80646000
2017-10-09,254.630005,254.699997,253.649994,253.949997,250.525726,35803100
2017-10-10,254.600006,255.050003,253.979996,254.619995,251.186661,43057400
2017-10-11,254.509995,255.020004,254.320007,255.020004,251.581284,47674300
2017-10-12,254.660004,255.059998,254.369995,254.639999,251.206406,47065100
2017-10-13,255.139999,255.270004,254.639999,254.949997,251.512222,54800400
2017-10-16,255.210007,255.509995,254.820007,255.289993,251.847641,38221700
2017-10-17,255.229996,255.520004,254.979996,255.470001,252.025208,31561000
2017-10-18,255.899994,255.949997,255.500000,255.720001,252.271851,40888300
2017-10-19,254.830002,255.830002,254.350006,255.789993,252.340912,61903800
2017-10-20,256.700012,257.140015,255.770004,257.109985,253.643082,89176400
2017-10-23,257.480011,257.510010,256.019989,256.109985,252.656586,63915300
2017-10-24,256.600006,256.829987,256.149994,256.559998,253.100510,66935900
2017-10-25,256.179993,256.309998,254.000000,255.289993,251.847641,103715300
2017-10-26,255.990005,256.299988,255.479996,255.619995,252.173187,69798000
2017-10-27,256.470001,257.890015,255.630005,257.709991,254.235001,85562500
2017-10-30,256.470001,257.600006,256.410004,256.750000,253.287949,54285700
2017-10-31,257.179993,257.440002,256.809998,257.149994,253.682556,60304800
2017-11-01,258.040009,258.429993,257.070007,257.489990,254.017960,54202700
2017-11-02,257.410004,257.750000,256.190002,257.589996,254.116638,56449500
2017-11-03,257.769989,258.500000,257.299988,258.450012,254.965073,59589700
2017-11-06,258.299988,259.000000,258.220001,258.850006,255.359650,49652600
2017-11-07,258.970001,259.350006,258.089996,258.670013,255.182068,57502200
2017-11-08,258.470001,259.220001,258.149994,259.109985,255.616119,50469600
2017-11-09,257.730011,258.390015,256.359985,258.170013,254.688828,95085500
2017-11-10,257.730011,258.290009,257.369995,258.089996,254.609879,59984700
2017-11-13,257.309998,258.589996,257.269989,258.329987,254.846619,50228600
2017-11-14,257.410004,257.850006,256.519989,257.730011,254.254761,61315200
2017-11-15,256.619995,257.220001,255.630005,256.440002,252.982147,80811500
2017-11-16,257.519989,259.040009,257.470001,258.619995,255.132751,67777000
2017-11-17,258.220001,258.589996,257.769989,257.859985,254.382980,75756800
2017-11-20,258.140015,258.519989,257.859985,258.299988,254.817047,48075500
2017-11-21,259.179993,260.200012,258.260010,259.989990,256.484253,69176800
2017-11-22,260.000000,260.149994,259.570007,259.760010,256.257385,45033400
2017-11-24,260.320007,260.480011,260.160004,260.359985,256.849274,27856500
2017-11-27,260.410004,260.750000,260.000000,260.230011,256.721039,52274900
2017-11-28,260.760010,262.899994,260.649994,262.869995,259.325439,98971700
2017-11-29,263.019989,263.630005,262.200012,262.709991,259.167572,77512100
2017-11-30,263.760010,266.049988,263.670013,265.010010,261.436584,127894400
2017-12-01,264.760010,265.309998,260.760010,264.459991,260.893982,164390900
2017-12-04,266.309998,266.799988,264.079987,264.140015,260.578308,94040600
2017-12-05,263.190002,265.149994,263.040009,263.190002,259.641113,77994500
2017-12-06,263.299988,263.730011,262.709991,263.239990,259.690430,75898600
2017-12-07,264.070007,264.429993,262.940002,264.070007,260.509247,77218600
2017-12-08,265.160004,265.519989,264.029999,265.510010,261.929840,76563900
2017-12-11,266.309998,266.380005,265.480011,266.309998,262.719055,83077500
2017-12-12,267.209991,267.320007,266.350006,266.779999,263.182709,85195800
2017-12-13,267.059998,267.559998,266.649994,266.750000,263.153137,102905400
2017-12-14,267.089996,267.220001,265.600006,265.660004,262.077820,100666700
2017-12-15,265.450012,267.040009,265.390015,266.510010,264.260254,144610300
